n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1965 | fa_1966 | fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1965 | all_1966 | all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
11 | Hegarty, John Christopher | BOSTON UNIVERSITY GRADUATE SCHOOL. | 1970 | male | 2 | 0 | 1970 | 2 | 0 | 1970 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
12 | Wrathall, Don Morris | BRIGHAM YOUNG UNIVERSITY. | 1970 | male | 1 | 1 | 1971 | 1 | 2 | 1972 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Keeley, Douglas Allan | California Institute of Technology | 1970 | male | 3 | 3 | 1980 | 3 | 10 | 1980 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 2 | 1 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
14 | Holzer, Thomas Edward | UNIVERSITY OF CALIFORNIA, SAN DIEGO. | 1970 | male | 5 | 15 | 1991 | 6 | 87 | 2006 | 0 | 0 | 0 | 0 | 2 | 3 | 2 | 2 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 3 | 2 | 4 | 3 | 0 | 4 | 2 | 2 | 1 | 4 | 4 | 0 | 3 | 2 | 1 | 0 | 5 | 3 | 1 | 1 | 5 | 3 | 4 | 1 | 6 | 2 | 1 | 3 | 1 | 2 | 1 | 3 | 4 | 2 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
15 | Defouw, Richard John | California Institute of Technology | 1970 | male | 5 | 5 | 1976 | 8 | 5 | 1976 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 0 | 0 | 0 | 5 | 0 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
16 | Peterson, Arsine Victoria | California Institute of Technology | 1970 | female | 1 | 1 | 1972 | 1 | 2 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
17 | Papanastassiou, Dimitri Anastassios | California Institute of Technology | 1970 | male | 4 | 23 | 1995 | 7 | 108 | 2017 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 5 | 3 | 4 | 3 | 4 | 1 | 7 | 8 | 5 | 2 | 3 | 3 | 1 | 2 | 3 | 3 | 1 | 0 | 2 | 6 | 1 | 1 | 4 | 0 | 2 | 3 | 8 | 2 | 5 | 0 | 1 | 0 | 1 | 0 | 3 | 1 | 6 | 0 | 0 | 2 | 3 | 0 | 1 | 0 | 2 | 0 | 0 |
18 | Osmer, Patrick Stewart | California Institute of Technology | 1970 | male | 2 | 34 | 2006 | 10 | 68 | 2009 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 4 | 3 | 4 | 1 | 2 | 5 | 2 | 1 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  3 | 2 | 1 | 1 | 1 | 2 | 0 | 6 | 3 | 5 | 2 | 2 | 6 | 3 | 2 | 3 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 1 | 4 | 2 | 4 | 1 | 0 | 2 | 1 | 0 | 4 | 0 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
19 | Brecher, Kenneth | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1970 | male | 6 | 46 | 1989 | 6 | 72 | 2007 | 0 | 0 | 1 | 0 | 2 | 3 | 3 | 3 | 3 | 3 | 2 | 2 | 6 | 7 | 3 | 3 | 0 | 1 | 2 | 2 | 2 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 3 | 4 | 4 | 3 | 3 | 2 | 7 | 7 | 8 | 4 | 3 | 0 | 2 | 4 | 3 | 3 | 2 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
20 | Hetherington, Norriss Swigart | Indiana University | 1970 | None | 1 | 26 | 2003 | 3 | 29 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 3 | 2 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
21 | Downes, Dennis | HARVARD UNIVERSITY. | 1970 | male | 6 | 27 | 2007 | 8 | 145 | 2017 | 1 | 2 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 1 | 1 | 1 | 2 | 0 | 1 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 2 | 1 | 0 | 0 | 4 | 3 | 1 | 1 | 2 | 8 | 6 | 3 | 2 | 8 | 6 | 9 | 5 | 2 | 2 | 0 | 0 | 1 | 3 | 2 | 4 | 3 | 7 | 2 | 2 | 2 | 7 | 4 | 3 | 7 | 1 | 1 | 0 | 2 | 1 | 6 | 3 | 3 | 2 | 2 | 2 | 4 | 4 | 3 | 3 | 0 | 1 |
22 | Elkins, Terence James | BOSTON UNIVERSITY GRADUATE SCHOOL. | 1970 | male | 4 | 0 | 1970 | 5 | 0 | 1970 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
23 | Fishman, Gerald Jay | RICE UNIVERSITY. | 1970 | male | 5 | 30 | 2011 | 13 | 268 | 2014 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 2 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 2 | 3 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 4 | 7 | 2 | 0 | 2 | 1 | 0 | 0 | 2 | 2 | 1 | 3 | 0 | 4 | 0 | 1 | 0 | 4 | 1 | 2 | 2 | 0 | 1 | 1 | 5 | 22 | 24 | 33 | 31 | 26 | 10 | 18 | 3 | 1 | 3 | 4 | 4 | 5 | 7 | 2 | 3 | 7 | 7 | 10 | 6 | 5 | 5 | 0 | 0 |
24 | Goldstein, Melvyn Lee | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1970 | male | 3 | 48 | 2016 | 3 | 234 | 2018 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 3 | 1 | 2 | 0 | 2 | 2 | 2 | 4 | 2 | 0 | 1 | 1 | 2 | 0 | 0 | 1 | 6 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 1 | 3 | 2 | 2 | 3 | 1 | 1 | 4 | 2 | 4 | 3 | 5 | 6 | 6 | 8 | 6 | 2 | 4 | 7 | 10 | 3 | 3 | 4 | 12 | 7 | 2 | 4 | 6 | 4 | 2 | 0 | 3 | 1 | 11 | 6 | 4 | 3 | 3 | 16 | 7 | 9 | 13 | 9 | 3 | 12 |
25 | Hall, Donald Norman Blake | HARVARD UNIVERSITY. | 1970 | male | 2 | 15 | 1989 | 3 | 91 | 2018 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 3 | 1 | 0 | 2 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 4 | 3 | 2 | 4 | 2 | 1 | 7 | 3 | 1 | 3 | 4 | 1 | 2 | 0 | 2 | 2 | 5 | 3 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 3 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 6 | 8 | 3 | 1 | 2 | 2 | 1 |
