 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 229 | Chiu, Kuenley | The Johns Hopkins University, Maryland, USA | 2006 | None | 4 | 3 | 2008 | 14 | 24 | 2015 | 1 | 0 | 0 | 0 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 4 | 3 | 4 | 8 | 6 | 3 | 6 | 0 | 0 | 0 | 0 | 1 | 0 |
 245 | Marriage, Tobias Andrew | Princeton University | 2006 | male | 2 | 2 | 2011 | 4 | 52 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 0 | 3 | 10 | 9 | 11 | 6 | 3 | 7 |
 247 | Liang, Mao-Chang | California Institute of Technology, States -- California | 2006 | male | 6 | 6 | 2009 | 13 | 29 | 2017 | 1 | 0 | 1 | 1 | 2 | 1 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 5 | 3 | 6 | 5 | 3 | 3 | 3 | 4 | 0 | 2 | 0 | 1 |
 249 | McCarty, Kevin B. | Princeton University, New Jersey, USA | 2006 | male | 1 | 0 | 2006 | 3 | 5 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 250 | Padmanabhan, Nikhil | Princeton University | 2006 | male | 7 | 9 | 2016 | 22 | 83 | 2017 | 1 | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 6 | 7 | 5 | 6 | 9 | 9 | 3 | 6 | 13 | 10 | 6 | 8 | 10 |
 254 | Boylan-Kolchin, Michael Robert | University of California, Berkeley | 2006 | male | 5 | 12 | 2016 | 6 | 67 | 2017 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 3 | 1 | 2 | 1 | 1 | 1 | 6 | 8 | 5 | 10 | 13 | 6 | 9 |
 256 | Pan, Margaret | California Institute of Technology | 2006 | female | 5 | 7 | 2016 | 7 | 11 | 2016 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 2 |
 259 | Finley, Chad Barrett | Columbia University, New York, USA | 2006 | male | 5 | 1 | 2008 | 18 | 128 | 2017 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 5 | 5 | 7 | 5 | 9 | 9 | 15 | 16 | 11 | 19 | 10 | 13 | 15 |
 264 | Vale, Christopher | University of California, Berkeley | 2006 | male | 1 | 0 | 2006 | 1 | 1 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
 265 | Wright, Jason Thomas | University of California, Berkeley, California, USA | 2006 | male | 5 | 15 | 2016 | 22 | 93 | 2017 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 3 | 0 | 2 | 1 | 2 | 3 | 0 | 2 | 0 | 0 | 2 | 5 | 9 | 6 | 5 | 6 | 8 | 4 | 13 | 10 | 9 | 11 | 11 | 11 |
 267 | Rockefeller, Gabriel Matthew | The University of Arizona, Arizona, USA | 2006 | male | 5 | 0 | 2006 | 11 | 16 | 2016 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 6 | 3 | 0 | 3 | 1 | 1 | 5 | 1 | 0 | 1 | 1 |
 272 | Metchev, Stanimir A. | California Institute of Technology, California, USA | 2006 | male | 7 | 5 | 2015 | 9 | 54 | 2017 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 3 | 1 | 3 | 4 | 1 | 4 | 1 | 2 | 3 | 3 | 4 | 13 | 13 |
 273 | Basu, Shabari | California Institute of Technology, California, USA | 2006 | male | 11 | 7 | 2016 | 21 | 75 | 2017 | 1 | 2 | 1 | 1 | 2 | 4 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 3 | 5 | 2 | 3 | 3 | 5 | 4 | 5 | 4 | 12 | 8 | 11 | 12 | 5 | 6 | 7 |
 274 | Fevig, Ronald Adrey | The University of Arizona | 2006 | male | 1 | 1 | 2007 | 2 | 3 | 2008 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 276 | Boyle, Latham A. | Princeton University | 2006 | male | 5 | 8 | 2015 | 5 | 9 | 2015 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 4 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 4 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 0 |
 281 | Perrin, Marshall Dimsey | University of California, Berkeley | 2006 | male | 4 | 9 | 2015 | 9 | 70 | 2017 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 3 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 0 | 0 | 2 | 2 | 2 | 3 | 4 | 4 | 8 | 5 | 4 | 2 | 2 | 4 | 12 | 18 |
 283 | Pan, Margaret Whei-Jie | California Institute of Technology | 2006 | female | 5 | 7 | 2016 | 7 | 10 | 2016 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 2 | 1 | 3 | 1 | 0 | 1 | 1 | 1 | 3 | 1 | 0 | 0 | 2 |
 287 | Melbourne, Jason | University of California, Santa Cruz | 2006 | male | 6 | 10 | 2013 | 14 | 39 | 2013 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 4 | 4 | 4 | 3 | 3 | 7 | 5 | 4 | 10 | 7 | 0 | 0 | 0 |
 289 | Ni, Kaixuan | Columbia University | 2006 | male | 3 | 3 | 2011 | 7 | 34 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 3 | 3 | 2 | 2 | 8 | 4 | 3 | 3 | 4 | 2 |
 295 | Ahn, Eun-Joo | The University of Chicago, Illinois, USA | 2006 | female | 8 | 2 | 2009 | 11 | 52 | 2016 | 0 | 1 | 3 | 0 | 1 | 3 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 4 | 0 | 1 | 3 | 1 | 0 | 4 | 6 | 8 | 11 | 2 | 9 | 6 | 5 |
 301 | Juric, Mario | Princeton University | 2006 | male | 1 | 0 | 2006 | 27 | 41 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 11 | 10 | 3 | 5 | 7 | 2 | 5 | 1 | 8 | 5 | 6 | 0 | 2 |
 304 | Paty, Carol S. | University of Washington | 2006 | female | 3 | 1 | 2008 | 4 | 11 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 0 | 2 | 1 | 0 | 0 | 2 | 2 | 2 | 1 | 0 |
 305 | Sharma, Prateek | Princeton University | 2006 | male | 3 | 13 | 2014 | 4 | 47 | 2017 | 0 | 0 | 1 | 0 | 0 | 2 | 4 | 1 | 2 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 4 | 1 | 3 | 4 | 2 | 9 | 6 | 3 | 5 | 8 |
