n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
100 | Baganoff, Frederick Keith | UNIVERSITY OF CALIFORNIA, LOS ANGELES. | 1996 | male | 2 | 2 | 2003 | 8 | 62 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 0 | 4 | 2 | 0 | 2 | 0 | 1 | 2 | 1 | 5 | 5 | 6 | 3 | 2 | 5 | 2 | 3 | 1 | 2 | 6 | 6 | 5 | 3 |
101 | Maldacena, Juan Martin | PRINCETON UNIVERSITY. | 1996 | male | 2 | 15 | 2016 | 6 | 26 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 5 | 3 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 6 | 6 | 5 | 1 | 2 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 4 |
102 | Pachoulakis, Ioannis | UNIVERSITY OF PENNSYLVANIA. | 1996 | male | 3 | 0 | 1996 | 11 | 2 | 1998 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 2 | 2 | 1 | 5 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
103 | Afflerbach, Andrew Lee | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | male | 3 | 1 | 1997 | 3 | 1 | 1997 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
104 | Buchholz, James Richard | UNIVERSITY OF CALIFORNIA, RIVERSIDE. | 1996 | male | 1 | 0 | 1996 | 2 | 1 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
105 | Collins, Charles Aloysius | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1996 | male | 4 | 4 | 2000 | 20 | 75 | 2016 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 3 | 2 | 5 | 5 | 4 | 7 | 6 | 6 | 6 | 3 | 6 | 4 | 8 | 4 | 1 | 2 | 2 | 2 | 2 | 3 | 1 | 2 | 1 | 2 | 7 |
106 | Depree, Christopher Gordon | THE UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL. | 1996 | male | 1 | 0 | 1996 | 3 | 2 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
107 | Ferrera, Antonio | TUFTS UNIVERSITY. | 1996 | male | 3 | 2 | 1999 | 3 | 4 | 2008 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
108 | Gaffney, Niall Ives | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1996 | male | 4 | 0 | 1996 | 8 | 1 | 2007 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
109 | Lebach, Daniel Eugene | HARVARD UNIVERSITY. | 1996 | male | 2 | 2 | 2012 | 4 | 14 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 7 | 0 | 0 | 2 | 0 |
110 | Marcus, David Alan | ARIZONA STATE UNIVERSITY. | 1996 | male | 1 | 1 | 1997 | 1 | 1 | 1997 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
111 | Petruzzo, Joseph James, III | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1996 | male | 2 | 0 | 1996 | 2 | 0 | 1996 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
112 | Richman, Hayley Renee | COLUMBIA UNIVERSITY. | 1996 | female | 4 | 0 | 1996 | 5 | 2 | 1998 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
113 | Stergioulas, Nikolaos | THE UNIVERSITY OF WISCONSIN - MILWAUKEE. | 1996 | male | 2 | 11 | 2014 | 2 | 69 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 3 | 4 | 4 | 6 | 4 | 1 | 3 | 1 | 2 | 3 | 1 | 2 | 1 | 8 | 2 | 5 | 10 | 3 | 5 |
114 | Wirth, Gregory David | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1996 | male | 2 | 4 | 2015 | 7 | 20 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 1 | 0 | 3 | 1 | 1 | 2 | 0 | 1 | 5 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 2 | 1 |
115 | Swain, Mark Raboin | THE UNIVERSITY OF ROCHESTER. | 1996 | male | 1 | 12 | 2014 | 1 | 47 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 2 | 1 | 3 | 2 | 2 | 4 | 3 | 7 | 0 | 5 | 2 | 4 | 3 | 3 |
116 | Werner, Robert Allen | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1996 | male | 3 | 14 | 2012 | 4 | 29 | 2012 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 1 | 1 | 1 | 0 | 1 | 3 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 2 | 0 | 0 | 3 | 0 | 5 | 7 | 2 | 3 | 2 | 0 | 1 | 3 | 0 | 0 | 0 | 0 |
117 | Hersh, Benjamin Vaughn Augustine | UNIVERSITY OF NEW HAMPSHIRE. | 1996 | male | 1 | 0 | 1996 | 2 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
118 | Kalligas, Dimitri George | STANFORD UNIVERSITY. | 1996 | male | 4 | 0 | 1996 | 7 | 3 | 1998 | 0 | 1 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 4 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
119 | Boisseau, John Richelieu | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1996 | male | 3 | 0 | 1996 | 5 | 0 | 1996 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
120 | Casper, Paul Henry | THE UNIVERSITY OF WISCONSIN - MILWAUKEE. | 1996 | male | 2 | 0 | 1996 | 6 | 0 | 1996 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
121 | Penny, Laura R. | GEORGIA STATE UNIVERSITY. | 1996 | female | 5 | 10 | 2016 | 9 | 23 | 2016 | 0 | 0 | 2 | 0 | 0 | 3 | 3 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 4 | 0 | 1 | 4 | 6 | 2 | 2 | 0 | 2 | 4 | 0 | 1 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 |
122 | Sayer, Ronald Winston | PRINCETON UNIVERSITY. | 1996 | male | 2 | 1 | 1997 | 3 | 2 | 1997 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
123 | Halasinski, Thomas Michael | MICHIGAN STATE UNIVERSITY. | 1996 | male | 1 | 1 | 2005 | 1 | 2 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
124 | Koshut, Thomas Michael | UNIVERSITY OF ALABAMA IN HUNTSVILLE. | 1996 | male | 3 | 1 | 1998 | 13 | 10 | 2002 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 4 | 1 | 6 | 1 | 2 | 4 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
125 | Lee, Sangjin | THE UNIVERSITY OF CHICAGO. | 1996 | male | 13 | 41 | 2017 | 29 | 218 | 2017 | 2 | 3 | 0 | 1 | 3 | 4 | 2 | 3 | 0 | 0 | 1 | 2 | 3 | 1 | 4 | 4 | 1 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 4 | 2 |  5 | 4 | 0 | 5 | 8 | 7 | 6 | 6 | 4 | 3 | 9 | 5 | 3 | 2 | 6 | 9 | 5 | 5 | 20 | 31 | 27 | 28 | 14 | 8 | 12 | 9 |
126 | Mezhlumian, Arthur | STANFORD UNIVERSITY. | 1996 | male | 3 | 0 | 1996 | 10 | 0 | 1996 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 1 | 2 | 3 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
127 | Westerberg, Karl Michael | PRINCETON UNIVERSITY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
128 | Hampton, Donald Loyd | UNIVERSITY OF ALASKA FAIRBANKS. | 1996 | male | 2 | 6 | 2010 | 10 | 46 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 2 | 6 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 2 | 2 | 1 | 6 | 4 | 8 | 2 | 4 | 7 | 2 |
129 | Kranze, Richard Harlow | TEXAS CHRISTIAN UNIVERSITY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
130 | Lee, Theodore Tsezun | STANFORD UNIVERSITY. | 1996 | male | 4 | 1 | 1997 | 8 | 26 | 2016 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 1 | 1 | 4 | 2 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 1 | 2 | 0 | 4 | 4 | 4 | 1 | 0 | 1 | 2 | 0 | 2 |
131 | McGraw, Patrick Neal | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 1 | 1998 | 1 | 1 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
132 | Schweitzer, Andrea E. | THE UNIVERSITY OF WISCONSIN - MADISON. | 1996 | female | 2 | 1 | 1999 | 2 | 10 | 2007 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
133 | Baker, Richard Gerard | THE UNIVERSITY OF MICHIGAN. | 1996 | male | 1 | 6 | 2010 | 13 | 19 | 2011 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 3 | 0 | 3 | 3 | 2 | 6 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 4 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
134 | Worden, John Randall | UNIVERSITY OF COLORADO AT BOULDER. | 1996 | male | 1 | 9 | 2013 | 2 | 168 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 2 | 1 | 0 | 0 | 6 | 8 | 3 | 10 | 15 | 14 | 8 | 8 | 18 | 8 | 14 | 8 | 28 |
135 | Banicescu, Ioana | POLYTECHNIC UNIVERSITY. | 1996 | female | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
