 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 146 | Willman, Beth | University of Washington | 2003 | female | 3 | 7 | 2012 | 6 | 55 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 3 | 2 | 3 | 4 | 7 | 5 | 6 | 5 | 4 | 3 | 4 | 4 | 3 |
 148 | Zhang, Weiqun | University of California, Santa Cruz | 2003 | None | 9 | 15 | 2015 | 22 | 166 | 2017 | 4 | 0 | 0 | 3 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 3 | 0 | 2 | 0 | 3 | 1 | 1 | 0 | 7 | 4 | 2 | 4 | 3 | 2 | 4 | 4 | 4 | 2 | 8 | 5 | 4 | 5 | 14 | 14 | 30 | 38 | 25 |
 149 | Youdin, Andrew Nicholas | University of California, Berkeley | 2003 | male | 2 | 8 | 2012 | 2 | 22 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 4 | 0 | 2 | 4 | 2 | 2 | 1 | 1 | 2 | 2 |
 153 | Metevier, Anne Julie | University of California, Santa Cruz | 2003 | female | 2 | 2 | 2006 | 6 | 12 | 2013 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 2 | 0 | 3 | 2 | 3 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
 155 | Minnick, Stephen Anthony | The Pennsylvania State University | 2003 | male | 2 | 0 | 2003 | 13 | 32 | 2011 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 8 | 1 | 4 | 3 | 8 | 0 | 1 | 14 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
 157 | de La Rue, Imelda Atencio | The University of Arizona | 2003 | female | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 161 | Sugerman, Benjamin E. K. | Columbia University | 2003 | male | 1 | 0 | 2003 | 1 | 12 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 2 | 1 | 1 | 3 | 3 | 1 | 0 | 0 | 0 | 0 |
 169 | Highberger, Jaime Lee | The University of Arizona | 2003 | male | 6 | 0 | 2003 | 8 | 0 | 2003 | 0 | 0 | 1 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 4 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 175 | Kuo, Chao-Lin | University of California, Berkeley | 2003 | female | 2 | 10 | 2015 | 6 | 45 | 2016 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 4 | 1 | 1 | 1 | 1 | 1 | 1 | 5 | 5 | 6 | 3 | 7 | 9 | 4 |
 179 | Zaharia, Sorin Gabriel | Princeton University | 2003 | male | 3 | 8 | 2010 | 4 | 28 | 2014 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 2 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 3 | 4 | 2 | 0 | 3 | 1 | 2 | 1 | 3 | 7 | 2 | 0 | 0 |
 180 | Reed, Darren S. | University of Washington | 2003 | male | 3 | 10 | 2015 | 4 | 20 | 2016 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 3 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 3 | 3 | 4 | 1 | 2 | 1 | 2 | 0 | 1 | 0 | 2 | 1 | 2 | 1 |
 184 | Dong, Shawfeng | University of California, Santa Cruz | 2003 | None | 2 | 1 | 2008 | 3 | 32 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 1 | 0 | 4 | 3 | 5 | 4 | 7 | 1 | 3 | 2 | 1 |
 185 | Groppi, Christopher Emil | The University of Arizona | 2003 | male | 1 | 2 | 2007 | 2 | 15 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 2 | 2 | 2 |
 187 | Finn, Rose Agnes | The University of Arizona | 2003 | female | 2 | 5 | 2010 | 4 | 18 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 2 | 1 | 0 | 1 | 4 | 0 | 3 | 1 | 1 | 2 | 0 | 1 | 2 |
 193 | Buchman, Luisa T. | University of Washington | 2003 | female | 2 | 6 | 2012 | 3 | 22 | 2014 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 3 | 1 | 1 | 0 | 5 | 1 | 3 | 3 | 4 | 1 | 0 | 0 |
 196 | Cartwright, John Kenneth | California Institute of Technology | 2003 | male | 1 | 1 | 2005 | 10 | 5 | 2007 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 4 | 2 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 202 | Chirkin, Dmitry Aleksandrovich | University of California, Berkeley | 2003 | male | 4 | 4 | 2011 | 23 | 138 | 2017 | 0 | 1 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 4 | 4 | 10 | 9 | 7 | 7 | 4 | 8 | 7 | 11 | 14 | 10 | 17 | 10 | 13 | 15 |
 203 | Hartl, Michael David | California Institute of Technology | 2003 | male | 3 | 1 | 2005 | 3 | 1 | 2005 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 206 | Suk, Heejun | THE PENNSYLVANIA STATE UNIVERSITY | 2003 | male | 2 | 0 | 2003 | 2 | 1 | 2015 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |
 208 | Liu, Yuk Tung | CALIFORNIA INSTITUTE OF TECHNOLOGY | 2003 | male | 12 | 60 | 2016 | 31 | 248 | 2017 | 0 | 0 | 1 | 6 | 3 | 2 | 3 | 3 | 7 | 5 | 10 | 7 | 5 | 4 | 6 | 1 | 3 | 3 | 3 | 0 | 1 | 6 | 11 | 7 | 6 | 5 | 14 | 22 | 12 | 24 | 26 | 14 | 13 | 37 | 24 | 27 | 13 | 14 |
 214 | Everett, John Eric | THE UNIVERSITY OF CHICAGO | 2003 | male | 3 | 9 | 2011 | 3 | 24 | 2015 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 3 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 1 | 5 | 3 | 0 | 5 | 2 | 1 | 2 | 1 | 1 | 0 |
 216 | Sipior, Michael Shawn | The Pennsylvania State University | 2003 | male | 2 | 1 | 2004 | 4 | 7 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 |
 218 | Hinkelman, Laura M. | THE PENNSYLVANIA STATE UNIVERSITY | 2003 | female | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 227 | Geha, Marla | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2003 | female | 5 | 9 | 2015 | 26 | 79 | 2017 | 1 | 0 | 0 | 0 | 1 | 3 | 0 | 1 | 2 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 7 | 10 | 3 | 4 | 1 | 3 | 5 | 4 | 7 | 4 | 9 | 5 | 9 | 9 | 6 | 8 | 8 |
 234 | Hoffman, Mark Brian | The University of Chicago | 2003 | male | 3 | 1 | 2014 | 5 | 17 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 0 | 1 | 3 | 4 | 2 | 2 | 0 | 1 | 1 | 0 |
 245 | Rosenberg, Adam Lewis | PRINCETON UNIVERSITY | 2003 | male | 7 | 2 | 2013 | 10 | 13 | 2015 | 3 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 3 | 1 | 4 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 1 | 5 | 1 | 1 | 0 |
 249 | Wiegert, Craig Charles | THE UNIVERSITY OF CHICAGO | 2003 | male | 1 | 0 | 2003 | 1 | 0 | 2003 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 252 | Hoffman, Mark Brian | The University of Chicago | 2003 | male | 3 | 1 | 2014 | 5 | 17 | 2015 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 2 | 0 | 1 | 3 | 4 | 2 | 2 | 0 | 1 | 1 | 0 |
