n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
245 | Rubbo, Louis Joseph, IV | MONTANA STATE UNIVERSITY | 2004 | male | 2 | 3 | 2007 | 4 | 7 | 2010 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 0 | 4 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
246 | Healy, Kevin Robert | Arizona State University, Arizona, USA | 2004 | male | 2 | 0 | 2004 | 3 | 2 | 2009 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
247 | Jordan, Andres | Rutgers The State University of New Jersey - New Brunswick, New Jersey, USA | 2004 | male | 1 | 6 | 2017 | 15 | 150 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 1 | 2 | 4 | 8 | 6 | 9 | 9 | 9 | 11 | 7 | 11 | 11 | 18 | 13 | 18 | 21 |
248 | Peng, Chien Yi | The University of Arizona, Arizona, USA | 2004 | male | 5 | 7 | 2017 | 26 | 59 | 2017 | 1 | 0 | 0 | 2 | 0 | 2 | 0 | 3 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  6 | 5 | 5 | 2 | 1 | 7 | 5 | 7 | 3 | 8 | 9 | 6 | 3 | 4 | 6 | 2 | 1 | 4 |
249 | Rhee, Joseph Hakjin | University of California, s Angeles, California, USA | 2004 | male | 2 | 7 | 2013 | 8 | 25 | 2016 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 1 | 1 | 3 | 1 | 2 | 4 | 5 | 3 | 2 | 2 | 2 | 1 | 2 | 2 | 1 | 0 | 1 |
250 | Hallett, Janet Tew | University of Southern California, California, USA | 2004 | female | 1 | 2 | 2005 | 2 | 6 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 4 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
251 | Jonsson, Patrik | University of California, nta Cruz, California, USA | 2004 | male | 1 | 4 | 2010 | 3 | 48 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 2 | 0 | 4 | 1 | 5 | 4 | 10 | 4 | 2 | 7 | 1 | 2 | 4 |
252 | Kargaltsev, Oleg | The Pennsylvania State University | 2004 | male | 4 | 18 | 2015 | 7 | 66 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 4 | 1 | 2 | 1 | 0 | 4 | 0 | 2 | 1 | 0 |  0 | 0 | 1 | 1 | 3 | 2 | 3 | 3 | 5 | 3 | 4 | 3 | 7 | 9 | 3 | 8 | 5 | 7 |
253 | Barris, Brian J. | UNIVERSITY OF HAWAI'I | 2004 | male | 3 | 2 | 2006 | 10 | 7 | 2012 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 2 | 2 | 3 | 3 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |
254 | Bonning, Erin Wells | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | female | 2 | 7 | 2013 | 3 | 27 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |  0 | 1 | 0 | 0 | 1 | 1 | 3 | 2 | 4 | 1 | 4 | 1 | 1 | 5 | 4 | 1 | 1 | 0 |
255 | Cooney, James H. | UNIVERSITY OF FLORIDA | 2004 | male | 1 | 0 | 2004 | 1 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
256 | Townsley, Dean Martin | University of California, nta Barbara, California, USA | 2004 | male | 5 | 6 | 2016 | 5 | 40 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 3 | 1 | 2 | 2 | 2 | 5 | 3 | 1 | 5 | 5 | 4 | 1 | 7 |
257 | Lanagan, Peter Denham | The University of Arizona, Arizona, USA | 2004 | male | 2 | 0 | 2004 | 2 | 3 | 2009 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
258 | Mitchell, David S. | UNIVERSITY OF CALIFORNIA, SAN DIEGO | 2004 | male | 1 | 1 | 2013 | 11 | 34 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 3 | 3 | 1 | 2 | 3 | 3 | 1 | 2 | 4 | 0 | 3 | 1 | 1 | 0 | 9 | 4 |
259 | Rebel, Brian J. | Indiana University, Indiana, USA | 2004 | male | 1 | 2 | 2013 | 1 | 15 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 2 | 0 | 2 | 1 | 2 | 2 |
260 | Silverman, John David | UNIVERSITY OF VIRGINIA | 2004 | male | 4 | 12 | 2015 | 11 | 172 | 2017 | 0 | 0 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 2 | 2 | 0 |  1 | 0 | 1 | 2 | 2 | 5 | 4 | 3 | 7 | 10 | 23 | 21 | 13 | 18 | 20 | 19 | 13 | 17 |
261 | Galal, Abdelhamid Abdelhak | University of Illinois at Urbana-Champaign, Illinois, USA | 2004 | male | 2 | 2 | 2012 | 2 | 6 | 2015 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 0 | 1 | 0 |
262 | Johnson, Bradley R. | UNIVERSITY OF MINNESOTA | 2004 | male | 2 | 3 | 2015 | 10 | 87 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  1 | 3 | 0 | 1 | 1 | 4 | 9 | 5 | 11 | 14 | 21 | 6 | 2 | 4 | 0 | 2 | 1 | 11 |
263 | Kizito, Ronald | Michigan Technological University, Michigan, USA | 2004 | male | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
264 | Nunes, Daniel Cahn | Washington University, Missouri, USA | 2004 | male | 2 | 4 | 2011 | 3 | 11 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 2 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 1 | 1 |
265 | Xu, Yanke | New Jersey Institute of Technology, New Jersey, USA | 2004 | male | 11 | 30 | 2016 | 27 | 131 | 2017 | 0 | 3 | 0 | 2 | 2 | 4 | 1 | 5 | 2 | 2 | 4 | 2 | 1 | 3 | 6 | 2 | 0 | 2 |  0 | 5 | 4 | 6 | 4 | 8 | 5 | 10 | 2 | 6 | 11 | 8 | 8 | 7 | 15 | 10 | 16 | 24 |
266 | Yang, Guo | New Jersey Institute of Technology, New Jersey, USA | 2004 | male | 4 | 5 | 2016 | 18 | 46 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 2 |  0 | 2 | 3 | 4 | 2 | 7 | 3 | 4 | 0 | 8 | 9 | 7 | 2 | 3 | 1 | 3 | 0 | 4 |
267 | Zech, Andreas | Rutgers The State University of New Jersey - New Brunswick, New Jersey, USA | 2004 | male | 3 | 2 | 2017 | 11 | 144 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 8 | 4 | 7 | 8 | 21 | 18 | 10 | 13 | 13 | 15 | 15 | 11 | 4 |
268 | Kadota, Kenji | University of California, rkeley, California, USA | 2004 | male | 3 | 13 | 2016 | 37 | 66 | 2017 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 0 | 0 | 2 | 2 | 2 |  5 | 5 | 10 | 2 | 10 | 5 | 13 | 2 | 4 | 9 | 3 | 1 | 1 | 7 | 4 | 8 | 7 | 4 |
269 | Chen, Gang | KANSAS STATE UNIVERSITY | 2004 | male | 10 | 28 | 2017 | 30 | 78 | 2017 | 1 | 1 | 1 | 0 | 4 | 3 | 1 | 3 | 2 | 1 | 1 | 3 | 4 | 0 | 1 | 4 | 3 | 2 |  4 | 3 | 9 | 3 | 7 | 4 | 3 | 7 | 4 | 3 | 4 | 6 | 7 | 4 | 14 | 8 | 5 | 8 |
270 | Armstrong, James D. | University of Hawai'i, Hawaii, USA | 2004 | male | 2 | 0 | 2004 | 3 | 10 | 2015 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 2 | 0 |
271 | Rupke, David S. | UNIVERSITY OF MARYLAND, COLLEGE PARK | 2004 | male | 2 | 12 | 2016 | 5 | 44 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 4 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 2 | 0 | 1 | 1 |  0 | 0 | 0 | 2 | 1 | 2 | 5 | 2 | 1 | 2 | 3 | 8 | 3 | 2 | 5 | 3 | 5 | 5 |
272 | Tyler, Daniel, Jr. | Oregon State University, Oregon, USA | 2004 | male | 2 | 4 | 2015 | 2 | 8 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 |  0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 |
273 | Willis, Joshua Lee | The Pennsylvania State University, Pennsylvania, USA | 2004 | male | 1 | 0 | 2004 | 4 | 75 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 2 | 2 | 16 | 6 | 31 |
274 | Thanki, Sandip | University of Nevada, s Vegas, Nevada, USA | 2004 | male | 1 | 1 | 2009 | 1 | 1 | 2009 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
275 | Garland, Catherine A. | UNIVERSITY OF HAWAI'I | 2004 | female | 2 | 6 | 2015 | 5 | 11 | 2015 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 1 | 0 | 1 | 1 | 2 | 1 | 0 | 3 | 2 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 0 |
276 | Wang, Zhongxiang | Massachusetts Institute of Technology, Massachusetts, USA | 2004 | male | 12 | 34 | 2016 | 55 | 126 | 2017 | 2 | 2 | 3 | 1 | 1 | 3 | 3 | 2 | 3 | 3 | 2 | 2 | 0 | 3 | 4 | 6 | 5 | 1 |  4 | 19 | 10 | 7 | 4 | 11 | 12 | 7 | 6 | 12 | 6 | 10 | 4 | 13 | 12 | 15 | 15 | 13 |
277 | Elsila, Jamie Elizabeth | Stanford University, California, USA | 2004 | male | 1 | 9 | 2016 | 7 | 26 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 3 | 3 | 2 | 1 | 2 | 0 | 2 | 3 | 2 | 6 | 2 | 2 | 2 | 2 |
278 | Crane, Jeffrey David | UNIVERSITY OF VIRGINIA | 2004 | male | 2 | 1 | 2005 | 8 | 32 | 2016 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 4 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 3 | 2 | 6 | 5 | 10 |
279 | Hunt, Matthew Philip | California Institute of Technology, California, USA | 2004 | male | 2 | 0 | 2004 | 10 | 3 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 3 | 1 | 5 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 |
280 | Jordan, George Calhoun, IV | CLEMSON UNIVERSITY | 2004 | male | 2 | 0 | 2004 | 2 | 5 | 2013 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 |
281 | Kelly, Bernard J. | The Pennsylvania State University, Pennsylvania, USA | 2004 | male | 2 | 4 | 2013 | 4 | 29 | 2014 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 3 | 1 | 1 | 6 | 4 | 4 | 8 | 2 | 0 | 2 | 1 | 0 | 0 |
282 | Constantin, Anca | Ohio University, Ohio, USA | 2004 | female | 4 | 7 | 2015 | 8 | 15 | 2016 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 2 | 0 |  1 | 0 | 0 | 3 | 2 | 2 | 0 | 1 | 0 | 2 | 2 | 1 | 0 | 3 | 1 | 0 | 3 | 2 |
283 | Macabea, Joyce | Boston University, Massachusetts, USA | 2004 | female | 1 | 0 | 2004 | 1 | 0 | 2004 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
284 | Howes, Gregory Gershom | University of California, s Angeles, California, USA | 2004 | male | 2 | 20 | 2017 | 3 | 48 | 2017 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 4 | 1 | 2 | 3 | 2 | 2 | 1 | 2 | 1 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 5 | 6 | 4 | 3 | 6 | 7 | 6 | 4 | 4 |
285 | Iono, Daisuke | University of Massachusetts Amherst, Massachusetts, USA | 2004 | male | 3 | 9 | 2016 | 6 | 76 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 1 | 3 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 0 | 5 | 2 | 4 | 4 | 6 | 6 | 6 | 2 | 8 | 7 | 6 | 11 | 9 |
286 | Kinemuchi, Karen | Michigan State University, Michigan, USA | 2004 | female | 1 | 3 | 2012 | 3 | 87 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 3 | 0 | 4 | 1 | 5 | 4 | 3 | 12 | 17 | 5 | 10 | 15 | 7 |
287 | Yang, Qiang | Michigan Technological University, Michigan, USA | 2004 | male | 3 | 0 | 2004 | 3 | 44 | 2017 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 6 | 1 | 4 | 7 | 3 | 4 | 12 | 4 |
288 | Edgington, Samantha F. | California Institute of Technology, California, USA | 2004 | female | 1 | 0 | 2004 | 3 | 11 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 4 | 0 | 1 | 0 | 3 | 1 | 0 | 0 | 1 | 1 | 0 | 0 |
289 | Farihi, Jay | University of California, s Angeles, California, USA | 2004 | male | 4 | 27 | 2017 | 4 | 59 | 2017 | 0 | 0 | 0 | 0 | 0 | 4 | 5 | 1 | 0 | 3 | 2 | 3 | 3 | 3 | 3 | 1 | 0 | 2 |  0 | 0 | 0 | 0 | 0 | 4 | 6 | 3 | 2 | 4 | 6 | 6 | 5 | 8 | 3 | 6 | 2 | 4 |
290 | Zhang, Ju | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 18 | 58 | 2017 | 82 | 359 | 2017 | 1 | 4 | 3 | 1 | 4 | 5 | 4 | 4 | 7 | 4 | 5 | 6 | 5 | 4 | 4 | 4 | 8 | 1 |  8 | 10 | 20 | 5 | 27 | 12 | 25 | 25 | 25 | 43 | 36 | 20 | 23 | 21 | 20 | 34 | 43 | 33 |
291 | Zheng, Zheng | THE OHIO STATE UNIVERSITY | 2004 | male | 12 | 27 | 2017 | 18 | 115 | 2017 | 2 | 1 | 1 | 3 | 1 | 4 | 3 | 3 | 4 | 2 | 1 | 3 | 2 | 0 | 1 | 3 | 1 | 2 |  3 | 3 | 2 | 4 | 1 | 5 | 8 | 7 | 11 | 6 | 4 | 6 | 5 | 9 | 11 | 13 | 12 | 13 |
292 | Deneault, Ethan A. -N. | CLEMSON UNIVERSITY | 2004 | male | 2 | 2 | 2009 | 3 | 2 | 2009 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
293 | Deloye, Christopher J. | UNIVERSITY OF CALIFORNIA, SANTA BARBARA | 2004 | male | 3 | 5 | 2010 | 4 | 12 | 2013 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 2 | 1 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |
294 | Duan, Huaiyu | UNIVERSITY OF MINNESOTA | 2004 | male | 2 | 20 | 2015 | 2 | 28 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 3 | 3 | 2 | 1 | 2 | 0 | 1 | 1 | 2 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 2 | 3 | 3 | 3 | 3 | 2 | 3 | 1 | 1 | 1 | 5 | 1 |
295 | Berger, Edo | California Institute of Technology | 2004 | male | 14 | 28 | 2014 | 47 | 180 | 2017 | 0 | 1 | 3 | 3 | 5 | 2 | 4 | 2 | 5 | 2 | 4 | 2 | 2 | 2 | 3 | 2 | 0 | 0 |  0 | 3 | 7 | 11 | 18 | 8 | 9 | 12 | 12 | 10 | 7 | 14 | 15 | 12 | 27 | 16 | 16 | 23 |
296 | Driscoll, Donald D., Jr. | CASE WESTERN RESERVE UNIVERSITY | 2004 | male | 2 | 2 | 2008 | 10 | 22 | 2011 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 5 | 2 | 2 | 5 | 3 | 4 | 5 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 |
297 | Delaney, Tracey Ann | UNIVERSITY OF MINNESOTA | 2004 | female | 1 | 0 | 2004 | 8 | 17 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 0 | 1 | 2 | 4 | 2 | 2 | 0 | 2 | 2 | 3 | 1 | 1 | 0 | 1 | 2 | 0 |
298 | Lopez, Laura Ann, | Massachusetts Institute of Technology | 2004 | female | 1 | 12 | 2015 | 1 | 36 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 2 | 0 | 3 | 0 | 2 | 2 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 4 | 0 | 1 | 3 | 4 | 5 | 1 | 7 | 5 | 2 | 3 |
299 | Komp, William J. | THE UNIVERSITY OF WISCONSIN - MILWAUKEE | 2004 | male | 1 | 0 | 2004 | 2 | 1 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
300 | Yong, David C. | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 7 | 21 | 2017 | 11 | 96 | 2017 | 0 | 0 | 0 | 0 | 4 | 3 | 2 | 3 | 0 | 5 | 1 | 0 | 0 | 1 | 3 | 2 | 1 | 2 |  0 | 0 | 0 | 1 | 5 | 5 | 4 | 4 | 0 | 8 | 4 | 9 | 4 | 7 | 15 | 14 | 12 | 11 |
301 | Yuan, Juntao | THE UNIVERSITY OF TEXAS AT AUSTIN | 2004 | male | 2 | 3 | 2017 | 5 | 35 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 2 | 1 | 3 | 2 | 6 | 2 | 1 | 2 | 6 | 1 | 0 | 2 | 1 | 7 |
