 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 270 | Bresolin, Fabio | THE UNIVERSITY OF ARIZONA | 1997 | male | 4 | 25 | 2016 | 11 | 143 | 2017 | 0 | 1 | 0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 4 | 1 | 3 | 2 | 1 | 2 | 0 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 2 | 3 | 4 | 4 | 10 | 2 | 2 | 6 | 4 | 9 | 9 | 10 | 4 | 14 | 11 | 6 | 7 | 8 | 11 | 9 | 9 | 5 |
 271 | Cully, Scott Lewis | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 4 | 0 | 1997 | 7 | 0 | 1997 | 0 | 1 | 1 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 274 | Gross, Michael Allan Kalmar | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 1997 | male | 1 | 1 | 1998 | 4 | 6 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 |
 276 | Jacobsen, Bruce Paul | THE UNIVERSITY OF ARIZONA | 1997 | male | 2 | 3 | 2009 | 8 | 14 | 2014 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 2 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 4 | 4 | 0 | 0 | 0 | 0 | 1 | 0 | 0 |
 277 | Bower, Geoffrey Copeland | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 3 | 33 | 2016 | 6 | 127 | 2017 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 1 | 2 | 2 | 3 | 1 | 3 | 1 | 1 | 0 | 1 | 1 | 4 | 0 | 1 | 2 | 3 | 2 | 0 | 0 | 1 | 1 | 1 | 3 | 3 | 4 | 2 | 6 | 2 | 5 | 9 | 5 | 8 | 4 | 3 | 7 | 8 | 14 | 10 | 8 | 8 | 10 | 8 |
 286 | Thornton, Katsuyo Serizawa | THE UNIVERSITY OF CHICAGO | 1997 | female | 2 | 1 | 1998 | 2 | 1 | 1998 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 287 | Vervack, Ronald Joe, Jr. | THE UNIVERSITY OF ARIZONA | 1997 | male | 1 | 5 | 2016 | 5 | 31 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 2 | 5 | 3 | 1 | 3 | 3 | 3 | 4 |
 306 | Hicks, Michael David | THE UNIVERSITY OF ARIZONA | 1997 | male | 3 | 10 | 2014 | 10 | 60 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 2 | 5 | 3 | 3 | 4 | 2 | 5 | 2 | 5 | 4 | 3 | 3 | 4 | 2 | 4 | 5 | 2 | 2 | 2 | 2 | 0 |
 307 | Guerra, Erick Jimenez | PRINCETON UNIVERSITY | 1997 | male | 2 | 3 | 2002 | 2 | 8 | 2011 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 312 | Best, Jason S. | The Pennsylvania State University | 1997 | male | 2 | 3 | 2001 | 2 | 3 | 2001 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 314 | Cadwell, Brian James | THE PENNSYLVANIA STATE UNIVERSITY | 1997 | male | 2 | 0 | 1997 | 4 | 0 | 1997 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 318 | O'Neal, Douglas Bruce | THE PENNSYLVANIA STATE UNIVERSITY | 1997 | male | 3 | 5 | 2006 | 6 | 8 | 2011 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 3 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 |
 324 | Dayal, Aditya | THE UNIVERSITY OF ARIZONA | 1997 | male | 4 | 7 | 2009 | 10 | 28 | 2016 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 3 | 3 | 2 | 4 | 5 | 4 | 0 | 3 | 0 | 3 | 0 | 0 | 4 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |
 327 | Ulmer, Andrew Todd | PRINCETON UNIVERSITY | 1997 | male | 8 | 3 | 1999 | 12 | 4 | 1999 | 0 | 1 | 2 | 3 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 3 | 3 | 2 | 3 | 2 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 334 | Rivkin, Andrew Scott | THE UNIVERSITY OF ARIZONA | 1997 | male | 3 | 24 | 2016 | 8 | 65 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 1 | 2 | 3 | 1 | 1 | 2 | 1 | 0 | 1 | 2 | 3 | 1 | 1 | 1 | 2 | 1 | 0 | 1 | 1 | 1 | 1 | 4 | 0 | 0 | 2 | 2 | 2 | 4 | 8 | 1 | 4 | 4 | 4 | 4 | 4 | 6 | 5 | 2 | 2 | 5 | 5 |
 336 | Mauskopf, Philip Daniel | UNIVERSITY OF CALIFORNIA, BERKELEY | 1997 | male | 1 | 4 | 2012 | 15 | 135 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 4 | 4 | 0 | 6 | 0 | 2 | 5 | 4 | 6 | 8 | 1 | 6 | 9 | 7 | 9 | 15 | 15 | 11 | 4 | 1 | 7 | 4 | 16 |
