 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1991 |  fa_1992 |  fa_1993 |  fa_1994 |  fa_1995 |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1991 |  all_1992 |  all_1993 |  all_1994 |  all_1995 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 91 | Katsavounidis, Erotokritos C. | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 0 | 1996 | 12 | 186 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 3 | 2 | 2 | 6 | 3 | 5 | 1 | 1 | 2 | 6 | 9 | 10 | 3 | 8 | 19 | 14 | 10 | 7 | 16 | 8 | 13 | 6 | 27 |
 92 | Lubecke, Victor Manuel | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 95 | Hansen, Bradley Miles Stougaard | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 9 | 2017 | 2 | 29 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 4 | 1 | 0 | 1 | 0 | 2 | 2 | 1 | 2 | 2 | 4 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 1 |
 96 | Kennefick, Julia Dusk | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | female | 4 | 2 | 2008 | 4 | 15 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 2 | 2 | 1 | 1 | 1 |
 101 | Maldacena, Juan Martin | PRINCETON UNIVERSITY. | 1996 | male | 2 | 15 | 2016 | 6 | 26 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 5 | 3 | 1 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 6 | 6 | 5 | 1 | 2 | 0 | 0 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 4 |
 112 | Richman, Hayley Renee | COLUMBIA UNIVERSITY. | 1996 | female | 4 | 0 | 1996 | 5 | 2 | 1998 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 114 | Wirth, Gregory David | UNIVERSITY OF CALIFORNIA, SANTA CRUZ. | 1996 | male | 2 | 4 | 2015 | 7 | 20 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 3 | 1 | 1 | 2 | 0 | 1 | 5 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 2 | 2 | 1 |
 122 | Sayer, Ronald Winston | PRINCETON UNIVERSITY. | 1996 | male | 2 | 1 | 1997 | 3 | 2 | 1997 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 125 | Lee, Sangjin | THE UNIVERSITY OF CHICAGO. | 1996 | male | 13 | 41 | 2017 | 29 | 218 | 2017 | 2 | 3 | 0 | 1 | 3 | 4 | 2 | 3 | 0 | 0 | 1 | 2 | 3 | 1 | 4 | 4 | 1 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 4 | 2 | 5 | 4 | 0 | 5 | 8 | 7 | 6 | 6 | 4 | 3 | 9 | 5 | 3 | 2 | 6 | 9 | 5 | 5 | 20 | 31 | 27 | 28 | 14 | 8 | 12 | 9 |
 127 | Westerberg, Karl Michael | PRINCETON UNIVERSITY. | 1996 | male | 1 | 0 | 1996 | 1 | 0 | 1996 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 131 | McGraw, Patrick Neal | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1996 | male | 1 | 1 | 1998 | 1 | 1 | 1998 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
