n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
176 | Sun, Ming | Harvard University, Massachusetts, USA | 2005 | male | 15 | 12 | 2015 | 25 | 71 | 2017 | 1 | 0 | 5 | 3 | 2 | 4 | 2 | 2 | 0 | 2 | 2 | 1 | 2 | 0 | 0 | 1 | 0 |  4 | 0 | 5 | 5 | 4 | 7 | 6 | 3 | 5 | 8 | 4 | 8 | 4 | 7 | 7 | 4 | 12 |
177 | Tassis, Konstantinos | University of Illinois at Urbana-Champaign | 2005 | male | 5 | 15 | 2015 | 6 | 43 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 0 | 5 | 1 | 1 | 1 | 1 | 4 | 0 | 1 | 1 | 0 |  1 | 0 | 0 | 1 | 1 | 3 | 1 | 5 | 2 | 3 | 2 | 3 | 4 | 0 | 9 | 4 | 9 |
178 | Weiss, John Wilfred | University of Colorado at Boulder, Colorado, USA | 2005 | male | 1 | 1 | 2009 | 3 | 13 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 3 | 2 | 1 | 1 | 3 | 0 | 0 | 2 | 0 | 1 | 0 |
179 | Atanassova, Martina Ivanova | University of Central Florida | 2005 | female | 1 | 0 | 2005 | 1 | 1 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
180 | Cooke, Jeffrey D. | University of California, San Diego, California, USA | 2005 | male | 1 | 3 | 2015 | 6 | 19 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 |  0 | 0 | 1 | 1 | 0 | 4 | 0 | 0 | 0 | 0 | 2 | 3 | 4 | 3 | 2 | 1 | 3 |
181 | Ashenfelter, Timothy P. | University of Notre Dame, Indiana, USA | 2005 | male | 3 | 0 | 2005 | 5 | 0 | 2005 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
182 | Chakrabarti, Sukanya | University of California, Berkeley, California, USA | 2005 | female | 9 | 15 | 2015 | 37 | 44 | 2017 | 3 | 1 | 0 | 1 | 1 | 3 | 2 | 1 | 3 | 2 | 0 | 2 | 1 | 2 | 1 | 1 | 0 |  7 | 7 | 10 | 2 | 5 | 6 | 3 | 2 | 5 | 6 | 4 | 7 | 4 | 3 | 3 | 4 | 2 |
183 | Harcke, Leif J. | Stanford University, California, USA | 2005 | male | 1 | 0 | 2005 | 1 | 2 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 |
184 | Jing, Ju | New Jersey Institute of Technology | 2005 | male | 4 | 14 | 2016 | 12 | 61 | 2017 | 0 | 0 | 0 | 1 | 1 | 2 | 3 | 1 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 1 | 1 |  0 | 0 | 0 | 3 | 5 | 4 | 8 | 3 | 5 | 5 | 10 | 6 | 5 | 2 | 6 | 3 | 5 |
185 | Kaneko, Yuki | The University of Alabama in Huntsville, Alabama, USA | 2005 | female | 3 | 10 | 2015 | 6 | 38 | 2017 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 2 | 2 | 0 | 0 | 1 | 2 | 0 |  1 | 0 | 0 | 1 | 0 | 4 | 4 | 1 | 1 | 1 | 6 | 6 | 5 | 3 | 3 | 5 | 2 |
186 | Leinhardt, Zoe Malka | University of Maryland, llege Park, Maryland, USA | 2005 | female | 5 | 7 | 2015 | 9 | 22 | 2017 | 1 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 1 | 0 |  1 | 0 | 2 | 0 | 3 | 3 | 0 | 0 | 1 | 3 | 3 | 0 | 4 | 1 | 2 | 5 | 2 |
187 | Milazzo, Moses Pollen | The University of Arizona, Arizona, USA | 2005 | male | 3 | 0 | 2005 | 16 | 9 | 2010 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  2 | 6 | 1 | 0 | 4 | 3 | 0 | 2 | 2 | 0 | 5 | 0 | 0 | 0 | 0 | 0 | 0 |
188 | Ting, Chueh | New Mexico State University, New Mexico, USA | 2005 | male | 1 | 1 | 2006 | 1 | 1 | 2006 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
189 | Wehner, Elizabeth Marie | The University of Wisconsin - Madison, Wisconsin, USA | 2005 | female | 1 | 4 | 2016 | 1 | 12 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 3 | 1 | 0 | 3 | 2 | 0 | 0 | 0 | 1 |
190 | Paschos, Paschalis | University of Illinois at Urbana-Champaign, Illinois, USA | 2005 | male | 1 | 0 | 2005 | 1 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
191 | Nagai, Daisuke | The University of Chicago, Illinois, USA | 2005 | male | 5 | 5 | 2013 | 12 | 65 | 2017 | 1 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 1 | 3 | 2 | 4 | 4 | 4 | 4 | 7 | 2 | 4 | 9 | 7 | 8 | 6 | 8 |
192 | Raymond, Sean Neylon | University of Washington, Washington, USA | 2005 | male | 7 | 21 | 2016 | 12 | 91 | 2017 | 0 | 0 | 0 | 1 | 2 | 4 | 4 | 2 | 3 | 3 | 1 | 1 | 1 | 2 | 3 | 0 | 1 |  0 | 0 | 0 | 4 | 4 | 4 | 4 | 5 | 8 | 8 | 5 | 8 | 7 | 12 | 17 | 6 | 7 |
193 | Fox, Andrew J. | The University of Wisconsin - Madison, Wisconsin, USA | 2005 | male | 5 | 16 | 2016 | 6 | 48 | 2017 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 3 | 2 | 2 | 1 | 2 | 0 | 2 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 4 | 1 | 4 | 2 | 3 | 2 | 5 | 6 | 6 | 5 | 6 | 5 |
194 | Gutermuth, Robert Allen | University of Rochester, New York, USA | 2005 | male | 3 | 6 | 2015 | 9 | 95 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 2 | 4 | 3 | 0 | 8 | 9 | 8 | 9 | 9 | 13 | 9 | 10 | 10 | 10 |
195 | Huang, Wenjin | Georgia State University, Georgia, USA | 2005 | male | 2 | 9 | 2012 | 13 | 38 | 2013 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 |  0 | 2 | 1 | 3 | 4 | 3 | 4 | 6 | 5 | 7 | 5 | 4 | 2 | 5 | 0 | 0 | 0 |
196 | Kesden, Michael | California Institute of Technology, California, USA | 2005 | male | 6 | 12 | 2015 | 8 | 24 | 2017 | 0 | 0 | 2 | 2 | 0 | 2 | 2 | 0 | 1 | 1 | 3 | 2 | 2 | 0 | 0 | 1 | 0 |  0 | 0 | 3 | 3 | 0 | 2 | 2 | 0 | 3 | 1 | 3 | 2 | 3 | 1 | 1 | 3 | 2 |
197 | Lewis, Rachel | Yale University, Connecticut, USA | 2005 | female | 2 | 1 | 2013 | 29 | 12 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  3 | 4 | 4 | 9 | 3 | 6 | 3 | 3 | 1 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 2 |
198 | Novicki, Megan C. | University of Hawai'i, Hawaii, USA | 2005 | female | 2 | 0 | 2005 | 5 | 1 | 2006 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 0 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
199 | Allgood, Brandon A. | University of California, nta Cruz, California, USA | 2005 | male | 1 | 1 | 2006 | 4 | 4 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
200 | Belov, Konstantin V. | The University of Utah, Utah, USA | 2005 | male | 5 | 2 | 2016 | 19 | 43 | 2016 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  2 | 4 | 1 | 1 | 5 | 6 | 4 | 3 | 5 | 1 | 5 | 2 | 2 | 0 | 0 | 18 | 3 |
201 | Chen, Jennifer | The University of Chicago, Illinois, USA | 2005 | female | 15 | 31 | 2015 | 47 | 99 | 2017 | 2 | 2 | 1 | 2 | 2 | 6 | 5 | 4 | 7 | 4 | 3 | 3 | 2 | 1 | 1 | 1 | 0 |  7 | 5 | 2 | 6 | 7 | 20 | 18 | 7 | 12 | 12 | 10 | 9 | 7 | 8 | 2 | 5 | 4 |
202 | Dominguez, Gerardo | University of California, rkeley, California, USA | 2005 | male | 1 | 3 | 2014 | 5 | 8 | 2014 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 |  0 | 1 | 0 | 1 | 2 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 0 |
203 | Farmer, Alison Jane | California Institute of Technology, California, USA | 2005 | female | 5 | 3 | 2009 | 9 | 6 | 2009 | 0 | 0 | 0 | 2 | 1 | 2 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 5 | 2 | 2 | 1 | 3 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
204 | Geshnizjani, Ghazal | Brown University, Rhode Island, USA | 2005 | female | 5 | 4 | 2015 | 6 | 13 | 2015 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 |  0 | 0 | 1 | 1 | 0 | 4 | 2 | 2 | 1 | 1 | 2 | 2 | 1 | 1 | 0 | 1 | 0 |
205 | Iyer, Mansie G. | Florida International University, Florida, USA | 2005 | male | 4 | 1 | 2006 | 4 | 1 | 2006 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
206 | Erickson, Joel K. | Princeton University, New Jersey, USA | 2005 | male | 5 | 1 | 2007 | 5 | 2 | 2009 | 1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 0 | 1 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
207 | Jones, William C. | California Institute of Technology, California, USA | 2005 | male | 4 | 4 | 2007 | 13 | 157 | 2017 | 0 | 3 | 0 | 0 | 0 | 1 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 3 | 4 | 4 | 0 | 2 | 8 | 5 | 2 | 1 | 10 | 21 | 1 | 11 | 40 | 16 | 41 |
208 | Naidu, Siddartha | Carnegie Mellon University, Pennsylvania, USA | 2005 | male | 2 | 1 | 2015 | 2 | 6 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 2 |
209 | Krumholz, Mark Reuben | University of California, Berkeley, California, USA | 2005 | male | 6 | 44 | 2017 | 6 | 126 | 2017 | 0 | 0 | 0 | 0 | 1 | 5 | 3 | 7 | 2 | 5 | 3 | 5 | 5 | 4 | 3 | 4 | 2 |  0 | 0 | 0 | 0 | 1 | 5 | 4 | 7 | 4 | 9 | 11 | 18 | 15 | 13 | 16 | 12 | 9 |
210 | Lo, Amy Shiu-Mei | University of California, Los Angeles, California, USA | 2005 | female | 1 | 0 | 2005 | 1 | 1 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
211 | Miceli, Antonino | University of Washington, Washington, USA | 2005 | male | 1 | 1 | 2008 | 3 | 9 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 0 | 2 | 0 | 3 | 4 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 |
212 | Miknaitis, Gajus A. | University of Washington | 2005 | male | 1 | 1 | 2007 | 12 | 27 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 2 | 1 | 2 | 5 | 1 | 8 | 10 | 2 | 2 | 1 | 1 | 0 | 1 | 0 | 1 |
213 | Sharma, Sanjib | The University of Arizona, Arizona, USA | 2005 | male | 7 | 25 | 2017 | 21 | 90 | 2017 | 1 | 1 | 1 | 0 | 1 | 3 | 2 | 0 | 5 | 2 | 1 | 5 | 1 | 2 | 3 | 1 | 2 |  4 | 5 | 3 | 3 | 1 | 5 | 7 | 1 | 7 | 4 | 3 | 11 | 8 | 15 | 9 | 5 | 9 |
214 | Paravastu, Nagini | University of Virginia | 2005 | female | 1 | 0 | 2005 | 1 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
215 | Dawson, Steven Arthur | University of California, Berkeley, California, USA | 2005 | male | 1 | 2 | 2012 | 4 | 2 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 |
216 | Spekkens, Kristine | Cornell University, New York, USA | 2005 | female | 3 | 5 | 2014 | 5 | 53 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 4 | 2 | 2 | 2 | 4 | 1 | 6 | 5 | 4 | 6 | 8 | 11 |
217 | Davis, Daryl C. | Florida Atlantic University, Florida, USA | 2005 | male | 4 | 0 | 2005 | 9 | 7 | 2017 | 0 | 1 | 2 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 3 | 2 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
218 | Friedel, Douglas Nathaniel | University of Illinois at Urbana-Champaign, Illinois, USA | 2005 | male | 4 | 5 | 2013 | 9 | 14 | 2014 | 0 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 1 | 0 | 0 | 2 | 1 | 1 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 3 | 5 | 2 | 0 | 2 | 2 | 1 | 3 | 2 | 1 | 1 | 0 | 0 |
219 | Carmell, Matthew W. | State University of New York at Stony Brook, New York, USA | 2005 | male | 1 | 0 | 2005 | 1 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
220 | Richardson, James Edward, Jr. | The University of Arizona, Arizona, USA | 2005 | male | 5 | 7 | 2014 | 10 | 22 | 2017 | 0 | 0 | 0 | 0 | 2 | 3 | 0 | 2 | 1 | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 0 |  0 | 0 | 0 | 2 | 3 | 5 | 2 | 3 | 2 | 1 | 0 | 3 | 0 | 4 | 1 | 2 | 2 |
221 | Saul, Lukas A. | University of New Hampshire, New Hampshire, USA | 2005 | male | 3 | 6 | 2013 | 3 | 20 | 2013 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 2 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 2 | 8 | 0 | 0 | 5 | 4 | 0 | 0 | 0 |
222 | Thomas, Brian C. | The University of Kansas | 2005 | male | 4 | 12 | 2016 | 6 | 31 | 2017 | 0 | 0 | 0 | 0 | 1 | 3 | 1 | 1 | 2 | 1 | 0 | 0 | 1 | 1 | 0 | 2 | 3 |  0 | 0 | 0 | 0 | 2 | 4 | 2 | 2 | 3 | 4 | 3 | 1 | 4 | 2 | 1 | 2 | 6 |
223 | Son, Seunghyeon | Princeton University, New Jersey, USA | 2005 | male | 1 | 1 | 2008 | 1 | 4 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |
224 | Carson, Jennifer Elaine | University of California, Los Angeles, California, USA | 2005 | female | 4 | 5 | 2013 | 15 | 47 | 2016 | 1 | 1 | 0 | 0 | 0 | 2 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 1 | 0 | 3 | 2 | 8 | 1 | 2 | 8 | 3 | 4 | 5 | 6 | 6 | 6 | 4 | 2 |
225 | Hussain, Shahid | The University of Kansas | 2005 | male | 3 | 15 | 2015 | 4 | 94 | 2015 | 0 | 0 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 0 | 1 | 2 | 3 | 4 | 2 | 0 |  0 | 0 | 0 | 0 | 2 | 2 | 3 | 1 | 3 | 7 | 11 | 15 | 13 | 20 | 14 | 7 | 0 |
226 | Masters, Craig Eugene | University of Missouri - Kansas City | 2005 | male | 1 | 2 | 2010 | 1 | 2 | 2010 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
227 | Ratkovic, Sasa | State University of New York at Stony Brook, New York, USA | 2005 | male | 1 | 0 | 2005 | 4 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
228 | Sarantos, Menelaos | Rice University, Texas, USA | 2005 | male | 2 | 8 | 2012 | 5 | 51 | 2017 | 0 | 1 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 0 | 2 | 1 | 1 | 2 | 2 | 6 | 8 | 5 | 8 | 5 | 6 | 3 | 4 |
229 | Wang, Haiyan | University of Florida, Florida, USA | 2005 | female | 12 | 34 | 2017 | 111 | 287 | 2017 | 1 | 1 | 2 | 2 | 1 | 5 | 1 | 3 | 6 | 2 | 2 | 3 | 5 | 1 | 5 | 1 | 4 |  13 | 26 | 9 | 23 | 8 | 32 | 14 | 18 | 26 | 12 | 15 | 31 | 26 | 27 | 29 | 24 | 46 |
230 | Randall, Scott William | University of Virginia, Virginia, USA | 2005 | male | 4 | 9 | 2016 | 5 | 51 | 2017 | 0 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 2 | 2 | 1 | 1 | 0 | 0 | 0 | 1 | 1 |  0 | 1 | 1 | 1 | 1 | 1 | 3 | 1 | 3 | 3 | 7 | 7 | 4 | 3 | 3 | 7 | 7 |
231 | Strigari, Louis E. | The Ohio State University, Ohio, USA | 2005 | male | 3 | 17 | 2017 | 5 | 71 | 2017 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 4 | 2 | 2 | 2 | 0 | 2 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 1 | 1 | 3 | 3 | 7 | 7 | 7 | 6 | 6 | 4 | 3 | 5 | 10 | 4 |
232 | Tasitsiomi, Argyro | The University of Chicago, Illinois, USA | 2005 | female | 7 | 2 | 2006 | 8 | 5 | 2010 | 0 | 0 | 1 | 1 | 4 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 4 | 2 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 |
233 | Chen, Tingdong | Brandeis University, Massachusetts, USA | 2005 | None | 3 | 2 | 2017 | 11 | 70 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 |  1 | 1 | 0 | 2 | 1 | 6 | 1 | 0 | 2 | 1 | 2 | 5 | 6 | 8 | 7 | 16 | 17 |
234 | Dahm, Scott E. | University of Hawai'i, Hawaii, USA | 2005 | male | 3 | 10 | 2015 | 10 | 14 | 2015 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 1 | 1 | 1 | 1 | 2 | 0 | 0 | 2 | 0 |  0 | 1 | 1 | 2 | 2 | 4 | 1 | 2 | 1 | 1 | 1 | 1 | 4 | 1 | 0 | 2 | 0 |
235 | He, Jin | The University of Alabama, Alabama, USA | 2005 | male | 8 | 34 | 2016 | 23 | 137 | 2017 | 0 | 1 | 0 | 1 | 2 | 4 | 2 | 4 | 7 | 4 | 6 | 3 | 2 | 2 | 2 | 0 | 2 |  1 | 2 | 1 | 4 | 5 | 10 | 8 | 14 | 19 | 8 | 13 | 12 | 9 | 15 | 16 | 6 | 14 |
236 | Carter, Brooke L. | University of Maryland, College Park | 2005 | female | 3 | 1 | 2006 | 5 | 9 | 2017 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  1 | 1 | 0 | 0 | 1 | 2 | 3 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 1 |
237 | Meibom, Soren Christian Dalgaard | The University of Wisconsin - Madison | 2005 | male | 3 | 1 | 2013 | 3 | 12 | 2016 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 |  1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 3 | 3 | 1 | 0 | 1 | 2 | 0 | 1 |
238 | Rosolowsky, Erik William | University of California, Berkeley | 2005 | male | 6 | 20 | 2016 | 10 | 112 | 2017 | 0 | 0 | 0 | 1 | 1 | 4 | 1 | 2 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 6 | 6 |  0 | 1 | 0 | 2 | 3 | 4 | 3 | 5 | 6 | 6 | 11 | 7 | 4 | 10 | 6 | 25 | 17 |
239 | Sozzetti, Alessandro | University of Pittsburgh, Pennsylvania, USA | 2005 | male | 7 | 10 | 2015 | 10 | 89 | 2017 | 0 | 1 | 1 | 1 | 2 | 2 | 3 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 2 | 0 |  1 | 1 | 1 | 1 | 3 | 3 | 4 | 7 | 1 | 4 | 3 | 0 | 9 | 6 | 12 | 20 | 12 |
240 | Vandernoot, Eric P. | Florida Atlantic University | 2005 | male | 1 | 0 | 2005 | 2 | 0 | 2005 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
241 | Wahhaj, Zahed | University of Pennsylvania, Pennsylvania, USA | 2005 | male | 3 | 8 | 2016 | 5 | 48 | 2017 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 2 | 1 | 1 | 1 |  0 | 0 | 0 | 1 | 1 | 3 | 5 | 6 | 1 | 0 | 3 | 1 | 1 | 4 | 5 | 9 | 9 |
242 | Daou, Antoun Georges | Rice University | 2005 | male | 1 | 3 | 2016 | 1 | 7 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 |
243 | Helmboldt, Joseph F. | New Mexico State University, New Mexico, USA | 2005 | male | 3 | 14 | 2015 | 4 | 26 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 2 | 3 | 2 | 0 | 0 | 4 | 0 | 2 | 1 | 0 |  0 | 0 | 0 | 1 | 1 | 2 | 0 | 3 | 4 | 3 | 1 | 1 | 6 | 1 | 5 | 1 | 1 |
