 n |  name |  university |  phd_year |  gender |  fa_n_pubs_pre_phd |  fa_n_pubs_prost_phd |  fa_year_last |  all_n_pubs_pre_phd |  all_n_pubs_prost_phd |  all_year_last |  fa_1996 |  fa_1997 |  fa_1998 |  fa_1999 |  fa_2000 |  fa_2001 |  fa_2002 |  fa_2003 |  fa_2004 |  fa_2005 |  fa_2006 |  fa_2007 |  fa_2008 |  fa_2009 |  fa_2010 |  fa_2011 |  fa_2012 |  fa_2013 |  fa_2014 |  fa_2015 |  fa_2016 |  all_1996 |  all_1997 |  all_1998 |  all_1999 |  all_2000 |  all_2001 |  all_2002 |  all_2003 |  all_2004 |  all_2005 |  all_2006 |  all_2007 |  all_2008 |  all_2009 |  all_2010 |  all_2011 |  all_2012 |  all_2013 |  all_2014 |  all_2015 |  all_2016 | foo
 161 | Flint, Kathleen Powers | University of California, Santa Cruz | 2001 | female | 3 | 1 | 2003 | 4 | 6 | 2009 | 1 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 3 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 163 | Stadel, Joachim Gerhard | UNIVERSITY OF WASHINGTON | 2001 | male | 1 | 1 | 2009 | 21 | 71 | 2017 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 3 | 6 | 2 | 7 | 4 | 5 | 12 | 8 | 9 | 7 | 8 | 2 | 3 | 2 | 1 | 4 | 1 | 1 | 2 |
 164 | Spitale, Joseph Nicholas | THE UNIVERSITY OF ARIZONA | 2001 | male | 2 | 7 | 2016 | 4 | 25 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 0 | 1 | 5 | 4 | 2 | 1 | 2 | 3 | 0 | 1 | 2 | 0 | 1 | 2 |
 166 | Kundu, Tonushree | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | female | 1 | 0 | 2001 | 2 | 0 | 2001 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 172 | Adelberger, Kurt L. | California Institute of Technology | 2001 | male | 3 | 11 | 2006 | 24 | 40 | 2008 | 0 | 0 | 1 | 0 | 1 | 1 | 1 | 1 | 2 | 6 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 6 | 2 | 7 | 5 | 5 | 6 | 7 | 12 | 6 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 174 | Lommen, Andrea Natalie | University of California, Berkeley | 2001 | female | 3 | 4 | 2015 | 4 | 30 | 2016 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 3 | 3 | 4 | 1 | 0 | 2 | 5 | 2 | 0 | 2 | 3 | 3 | 1 |
 181 | Holder, Gilbert Patrick | The University of Chicago | 2001 | male | 5 | 12 | 2014 | 15 | 107 | 2017 | 1 | 0 | 0 | 0 | 1 | 3 | 2 | 2 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 1 | 6 | 5 | 3 | 7 | 6 | 1 | 0 | 2 | 2 | 2 | 10 | 9 | 12 | 16 | 10 | 13 | 13 |
 188 | Miocinovic, Predrag | University of California, Berkeley | 2001 | male | 1 | 1 | 2003 | 14 | 47 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 2 | 4 | 4 | 7 | 9 | 8 | 8 | 3 | 3 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 2 |
 190 | Morgan, Rhonda Michelle | The University of Arizona | 2001 | female | 1 | 0 | 2001 | 1 | 3 | 2012 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 191 | Benedetti, Laura Robin | University of California, Berkeley | 2001 | female | 2 | 0 | 2001 | 2 | 13 | 2016 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 3 | 0 | 2 | 0 | 0 | 1 | 1 | 1 |
 195 | Rockosi, Constance Mary | The University of Chicago | 2001 | female | 1 | 1 | 2002 | 17 | 97 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 7 | 7 | 14 | 5 | 9 | 2 | 10 | 6 | 9 | 5 | 6 | 10 | 6 | 4 | 4 | 3 | 4 |
 199 | Wagner, Donald Russell | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | male | 2 | 1 | 2009 | 5 | 4 | 2015 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 1 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 1 | 0 |
 200 | Castellano, Timothy Paul | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2001 | male | 3 | 3 | 2004 | 3 | 3 | 2004 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 214 | Reese, Erik Darryl | THE UNIVERSITY OF CHICAGO | 2001 | male | 2 | 4 | 2012 | 12 | 40 | 2017 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 8 | 4 | 2 | 1 | 3 | 0 | 2 | 1 | 1 | 0 | 2 | 5 | 7 | 8 | 4 | 2 | 1 |
 216 | Roberts, William Thomas, Jr. | THE UNIVERSITY OF ARIZONA | 2001 | male | 1 | 2 | 2010 | 2 | 8 | 2013 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 1 | 1 | 0 | 0 | 0 |
 217 | Malyshkin, Leonid M. | PRINCETON UNIVERSITY | 2001 | male | 7 | 12 | 2011 | 10 | 14 | 2011 | 0 | 0 | 0 | 1 | 1 | 5 | 1 | 0 | 0 | 1 | 0 | 1 | 2 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 5 | 2 | 0 | 0 | 1 | 0 | 1 | 2 | 3 | 3 | 2 | 0 | 0 | 0 | 0 | 0 |
 219 | Scannapieco, Evan | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | male | 9 | 23 | 2017 | 15 | 84 | 2017 | 0 | 1 | 0 | 1 | 3 | 4 | 3 | 2 | 2 | 5 | 4 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 4 | 1 | 5 | 4 | 6 | 5 | 2 | 9 | 7 | 1 | 3 | 11 | 7 | 5 | 5 | 5 | 4 | 3 | 7 |
 221 | Pariev, Vladimir Ivanovich | THE UNIVERSITY OF ARIZONA | 2001 | male | 4 | 5 | 2007 | 7 | 13 | 2012 | 1 | 0 | 1 | 0 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 2 | 0 | 0 | 3 | 2 | 4 | 0 | 2 | 0 | 2 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 0 | 0 |
 222 | Weaver, Benjamin Alan | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | male | 8 | 7 | 2015 | 11 | 159 | 2017 | 0 | 1 | 1 | 2 | 0 | 4 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 2 | 2 | 0 | 6 | 2 | 2 | 0 | 1 | 3 | 2 | 1 | 0 | 3 | 16 | 23 | 22 | 27 | 15 | 30 |
 223 | Hibschman, Johann Allen | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | male | 4 | 1 | 2002 | 4 | 1 | 2002 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
 226 | Liang, Chyng-Lan | UNIVERSITY OF CALIFORNIA, BERKELEY | 2001 | female | 1 | 1 | 2014 | 1 | 5 | 2015 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 2 | 0 |
 227 | McCullough, Joseph Francis | UNIVERSITY OF CALIFORNIA, SANTA CRUZ | 2001 | male | 2 | 0 | 2001 | 6 | 4 | 2012 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 |
 228 | Kuchner, Marc Jason | California Institute of Technology | 2001 | male | 5 | 12 | 2017 | 9 | 79 | 2017 | 0 | 0 | 2 | 0 | 2 | 1 | 3 | 4 | 1 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 3 | 2 | 4 | 5 | 4 | 5 | 7 | 4 | 2 | 3 | 5 | 5 | 6 | 5 | 7 | 10 | 6 |
 229 | Rudnick, Gregory Howard | The University of Arizona | 2001 | male | 4 | 5 | 2012 | 5 | 99 | 2017 | 0 | 0 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 3 | 1 | 6 | 8 | 5 | 10 | 14 | 8 | 14 | 9 | 7 | 4 | 4 | 4 | 2 | 2 |
 237 | McIntosh, Daniel Howard | THE UNIVERSITY OF ARIZONA | 2001 | male | 3 | 7 | 2014 | 6 | 89 | 2017 | 0 | 0 | 0 | 2 | 0 | 1 | 0 | 0 | 2 | 2 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 2 | 2 | 2 | 1 | 3 | 10 | 8 | 5 | 5 | 7 | 13 | 2 | 3 | 7 | 4 | 8 | 8 | 2 |
 241 | Harding, Paul | The University of Arizona | 2001 | male | 2 | 0 | 2001 | 27 | 76 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 4 | 7 | 7 | 3 | 4 | 1 | 4 | 4 | 2 | 2 | 7 | 4 | 8 | 4 | 7 | 6 | 4 | 7 | 7 | 6 |
 243 | Hamuy, Mario Andres | The University of Arizona | 2001 | male | 9 | 9 | 2011 | 22 | 117 | 2017 | 4 | 0 | 0 | 1 | 1 | 3 | 3 | 2 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 7 | 1 | 4 | 3 | 3 | 4 | 5 | 6 | 4 | 5 | 3 | 2 | 3 | 10 | 16 | 9 | 12 | 6 | 13 | 10 | 12 |
 245 | Zucker, Daniel Benjamin | University of Washington | 2001 | male | 2 | 6 | 2007 | 6 | 79 | 2017 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 1 | 4 | 4 | 6 | 13 | 12 | 8 | 4 | 5 | 5 | 2 | 3 | 6 | 3 |
 250 | Jimenez-Garate, Mario Alberto | COLUMBIA UNIVERSITY | 2001 | male | 3 | 5 | 2005 | 5 | 8 | 2005 | 0 | 0 | 0 | 0 | 1 | 2 | 2 | 2 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 3 | 2 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
