n | name | university | phd_year | gender | fa_n_pubs_pre_phd | fa_n_pubs_prost_phd | fa_year_last | all_n_pubs_pre_phd | all_n_pubs_prost_phd | all_year_last |  fa_1967 | fa_1968 | fa_1969 | fa_1970 | fa_1971 | fa_1972 | fa_1973 | fa_1974 | fa_1975 | fa_1976 | fa_1977 | fa_1978 | fa_1979 | fa_1980 | fa_1981 | fa_1982 | fa_1983 | fa_1984 | fa_1985 | fa_1986 | fa_1987 | fa_1988 | fa_1989 | fa_1990 | fa_1991 | fa_1992 | fa_1993 | fa_1994 | fa_1995 | fa_1996 | fa_1997 | fa_1998 | fa_1999 | fa_2000 | fa_2001 | fa_2002 | fa_2003 | fa_2004 | fa_2005 | fa_2006 | fa_2007 | fa_2008 | fa_2009 | fa_2010 | fa_2011 | fa_2012 | fa_2013 | fa_2014 | fa_2015 | fa_2016 |  all_1967 | all_1968 | all_1969 | all_1970 | all_1971 | all_1972 | all_1973 | all_1974 | all_1975 | all_1976 | all_1977 | all_1978 | all_1979 | all_1980 | all_1981 | all_1982 | all_1983 | all_1984 | all_1985 | all_1986 | all_1987 | all_1988 | all_1989 | all_1990 | all_1991 | all_1992 | all_1993 | all_1994 | all_1995 | all_1996 | all_1997 | all_1998 | all_1999 | all_2000 | all_2001 | all_2002 | all_2003 | all_2004 | all_2005 | all_2006 | all_2007 | all_2008 | all_2009 | all_2010 | all_2011 | all_2012 | all_2013 | all_2014 | all_2015 | all_2016 | foo
11 | Moore, John Fitzallen | COLUMBIA UNIVERSITY. | 1972 | male | 1 | 4 | 2009 | 2 | 19 | 2016 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 3 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 1 |
12 | Swedlund, John Bradley | UNIVERSITY OF OREGON. | 1972 | male | 3 | 2 | 1974 | 9 | 10 | 1977 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 2 | 2 | 5 | 1 | 5 | 2 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
13 | Wald, Robert Manuel | PRINCETON UNIVERSITY. | 1972 | male | 4 | 32 | 2006 | 5 | 118 | 2016 | 0 | 0 | 0 | 0 | 2 | 2 | 1 | 3 | 1 | 1 | 2 | 2 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 2 | 2 | 2 | 0 | 0 | 0 | 1 | 1 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 3 | 2 | 4 | 1 | 1 | 3 | 2 | 3 | 0 | 1 | 2 | 3 | 0 | 3 | 3 | 4 | 0 | 6 | 2 | 3 | 4 | 3 | 3 | 3 | 4 | 3 | 3 | 4 | 3 | 3 | 3 | 2 | 4 | 2 | 3 | 2 | 3 | 1 | 2 | 4 | 2 | 2 | 5 | 3 | 4 |
14 | Ni, Wei-Tou | CALIFORNIA INSTITUTE OF TECHNOLOGY. | 1972 | male | 2 | 39 | 2016 | 2 | 89 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | 0 | 0 | 1 | 0 | 2 | 2 | 2 | 1 | 2 | 1 | 0 | 1 | 3 | 2 | 1 | 0 | 3 | 2 | 1 | 7 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 0 | 0 | 3 | 0 | 0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 1 | 0 | 0 | 1 | 0 | 0 | 4 | 0 | 0 | 2 | 2 | 3 | 4 | 4 | 3 | 2 | 2 | 1 | 4 | 8 | 7 | 2 | 2 | 9 | 4 | 7 | 8 |
15 | Morgan, Thomas Harlow | UNIVERSITY OF FLORIDA. | 1972 | male | 4 | 13 | 1998 | 5 | 73 | 2015 | 0 | 0 | 1 | 2 | 0 | 1 | 0 | 1 | 3 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 3 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 2 | 1 | 1 | 0 | 1 | 5 | 3 | 3 | 2 | 2 | 0 | 0 | 2 | 0 | 2 | 1 | 2 | 2 | 3 | 1 | 2 | 7 | 0 | 2 | 2 | 0 | 1 | 6 | 2 | 3 | 3 | 1 | 2 | 0 | 1 | 1 | 1 | 1 | 0 | 3 | 0 | 0 | 3 | 0 | 2 | 1 | 0 |
16 | Scott, Eugene Howard, III | PRINCETON UNIVERSITY. | 1972 | male | 1 | 6 | 1984 | 2 | 9 | 1984 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 0 | 0 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
17 | Slade, Martin Alphonse, III | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1972 | male | 2 | 5 | 1992 | 5 | 73 | 2017 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 2 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 3 | 1 | 0 | 0 | 0 | 1 | 1 | 1 | 2 | 2 | 1 | 0 | 3 | 6 | 3 | 2 | 4 | 2 | 1 | 2 | 2 | 5 | 1 | 8 | 7 | 1 | 2 | 0 | 3 | 0 | 0 | 2 | 0 | 0 | 1 | 2 | 1 | 0 | 0 | 1 | 0 |
18 | White, Richard Edward | COLUMBIA UNIVERSITY. | 1972 | male | 5 | 23 | 2003 | 6 | 113 | 2017 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 2 | 1 | 2 | 1 | 1 | 0 | 2 | 0 | 0 | 1 | 3 | 0 | 1 | 0 | 2 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 1 | 1 | 3 | 1 | 1 | 2 | 1 | 3 | 1 | 1 | 0 | 5 | 0 | 1 | 2 | 3 | 0 | 3 | 0 | 2 | 2 | 2 | 0 | 0 | 1 | 1 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 1 | 0 | 1 | 1 | 2 | 1 | 1 | 0 | 5 | 15 | 13 | 17 | 11 | 5 |
19 | Perry, John Ferguson Weir | THE UNIVERSITY OF ROCHESTER. | 1972 | male | 2 | 0 | 1972 | 2 | 13 | 2016 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | 2 | 0 | 0 | 0 | 1 | 0 | 2 | 0 | 0 | 0 | 1 |
20 | Wu, Chi-Chao | THE UNIVERSITY OF WISCONSIN - MADISON. | 1972 | male | 2 | 62 | 2016 | 2 | 187 | 2017 | 0 | 0 | 0 | 0 | 0 | 2 | 0 | 0 | 1 | 1 | 2 | 1 | 1 | 3 | 4 | 2 | 5 | 1 | 1 | 2 | 1 | 2 | 2 | 1 | 2 | 4 | 1 | 0 | 2 | 2 | 1 | 1 | 1 | 2 | 1 | 0 | 2 | 2 | 3 | 3 | 1 | 0 | 0 | 0 | 0 | 2 | 1 | 0 | 0 | 1 |  0 | 0 | 0 | 0 | 0 | 2 | 0 | 1 | 2 | 1 | 4 | 8 | 2 | 6 | 7 | 9 | 7 | 2 | 1 | 3 | 3 | 6 | 3 | 2 | 5 | 6 | 2 | 1 | 3 | 3 | 3 | 3 | 4 | 3 | 2 | 2 | 7 | 4 | 4 | 4 | 8 | 1 | 2 | 1 | 8 | 6 | 9 | 0 | 10 | 12 |
21 | Ahern, Francis Joseph | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1972 | male | 1 | 7 | 1984 | 1 | 8 | 1984 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 2 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 3 | 2 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
22 | Bleach, Richard David | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1972 | male | 3 | 1 | 1975 | 7 | 6 | 1984 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 2 | 5 | 0 | 0 | 3 | 1 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
23 | Chapman, Clark Russell | MASSACHUSETTS INSTITUTE OF TECHNOLOGY. | 1972 | male | 11 | 372 | 2013 | 12 | 501 | 2016 | 3 | 3 | 3 | 1 | 0 | 1 | 3 | 6 | 5 | 3 | 3 | 2 | 4 | 1 | 0 | 1 | 2 | 0 | 1 | 1 | 1 | 0 | 2 | 4 | 5 | 2 | 4 | 7 | 3 | 4 | 3 | 1 | 2 | 0 | 0 | 3 | 1 | 2 | 289 | 1 | 2 | 1 | 0 | 2 | 0 | 0 | 1 | 0 | 0 | 0 |  3 | 3 | 3 | 2 | 0 | 1 | 4 | 6 | 8 | 5 | 4 | 6 | 10 | 1 | 1 | 2 | 3 | 4 | 2 | 1 | 4 | 1 | 2 | 7 | 7 | 6 | 4 | 14 | 6 | 13 | 6 | 8 | 9 | 3 | 10 | 8 | 1 | 3 | 290 | 1 | 3 | 4 | 5 | 7 | 3 | 2 | 7 | 4 | 4 | 2 |
24 | Denoyer, Linda Kay | CORNELL UNIVERSITY. | 1972 | female | 1 | 8 | 1983 | 1 | 12 | 1983 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 0 | 0 | 2 | 1 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 0 | 1 | 0 | 1 | 1 | 2 | 2 | 2 | 2 | 0 | 1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
25 | Modali, Sarma Brahmananda | THE UNIVERSITY OF TEXAS AT AUSTIN. | 1972 | male | 3 | 2 | 1976 | 6 | 3 | 1980 | 0 | 0 | 0 | 0 | 0 | 3 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 1 | 1 | 4 | 0 | 0 | 1 | 1 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
26 | Harten, Ronald Harold | UNIVERSITY OF MARYLAND COLLEGE PARK. | 1972 | male | 2 | 9 | 1995 | 2 | 34 | 1995 | 0 | 0 | 0 | 0 | 1 | 1 | 1 | 0 | 1 | 1 | 0 | 1 | 0 | 1 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |  0 | 0 | 0 | 0 | 1 | 1 | 3 | 1 | 1 | 4 | 1 | 3 | 1 | 2 | 7 | 2 | 1 | 1 | 2 | 2 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 |
