year n min max mean median std n_outliers f_n f_min f_max f_mean f_median f_std m_n m_min m_max m_mean m_median m_std
2003	85	2	306	21.47	13.0	36.19	1	18	2	97	15.83	11.5	20.40	63	3	96	17.62	13.0	15.69
2004	144	2	111	16.76	11.0	16.85	4	30	2	96	12.77	9.0	16.20	111	2	111	17.81	12.0	17.04
2005	152	2	117	18.05	12.0	18.68	5	34	2	87	20.29	12.0	21.03	112	2	117	17.24	12.0	17.92
2006	152	2	106	15.20	11.0	16.27	5	31	4	51	14.74	12.0	10.25	111	2	106	15.84	11.0	18.10
2007	179	2	119	14.79	10.0	16.25	4	38	3	75	12.89	10.0	11.99	139	2	119	15.24	10.0	17.25
2008	213	2	98	12.53	9.0	13.03	7	58	3	98	13.50	8.0	17.14	150	2	80	12.29	9.0	11.24
2009	216	2	135	10.77	8.0	12.25	4	69	2	45	 9.83	8.0	 7.74	140	2	135	11.05	7.0	13.78
2010	200	2	82	 8.70	7.0	 7.65	2	55	2	24	 8.49	7.0	 4.76	140	2	82	 8.89	7.0	 8.61
2011	232	1	49	 7.95	6.0	 6.79	6	58	2	30	 7.19	6.0	 5.28	159	1	49	 8.21	6.0	 7.35
2012	359	1	29	 5.15	4.0	 4.56	6	97	1	17	 4.30	3.0	 3.66	232	1	29	 5.30	4.0	 4.53
2013	325	1	71	 5.35	4.0	 6.95	4	82	1	16	 4.51	3.0	 3.44	217	1	37	 5.06	4.0	 5.00
2014	335	1	29	 4.22	3.0	 4.07	8	98	1	22	 4.48	4.0	 3.84	220	1	29	 4.23	3.0	 4.22
2015	246	1	37	 4.28	3.0	 4.25	4	63	1	12	 3.54	3.0	 2.25	167	1	31	 4.11	3.0	 3.65
